,left,right,forward,backward,up,down
000,-0.5646952447260385,-0.5034621633189427,-0.5949249996992072,-0.5919564953542804,-0.5688939919765392,-0.6061271840452882
001,-0.5613618629414807,-0.5473238218194698,-0.54451513754766,-0.5522169579833573,-0.3938169618013806,-0.5691535569171419
002,-0.47937237665289417,-0.49608456944175394,-0.4611570761911923,-0.4903865402231292,-0.357839596954082,-0.47062179671739035
003,-0.4256159168940074,-0.42631186711436775,-0.23883399490933263,-0.40434222846381573,-0.40126306076162116,-0.4203829858700656
010,-0.539535328627335,-0.4131316956580262,-0.5352639486289128,-0.5486178157089128,-0.531405613569027,-0.5492500087347295
011,-0.4759670388779685,-0.4710979266844465,-0.4747379291400805,-0.4810137342598391,-0.36656194350838367,-0.47954417963422086
012,-0.4215053540250739,-0.42577536616645145,-0.4352170852024997,-0.4263180209279353,-0.17056073799813237,-0.45888926286469944
013,-0.3505743304335885,-0.30871778118994764,-0.16367884207938235,-0.33253311451033724,-0.3207928536770196,-0.3370697824826731
020,-0.4788317520307526,-0.4510828361109999,-0.45937232961716445,-0.47225717486715046,-0.26386019366984503,-0.47665871958877526
021,-0.422127711367946,-0.41244387307318303,-0.17301162909398865,-0.38773252251986395,-0.4025504145681242,-0.40271024514944537
022,-0.2682389316678362,-0.2630422497243548,-0.3015317406997536,-0.2766079854726735,-0.06945218234038188,-0.26295115282920234
023,-0.2401787411257985,0.06741951253743061,-0.26971790511783245,-0.23284881813341093,-0.2583035851695627,-0.2422431110665672
030,-0.44172171014683104,-0.44122245421621065,-0.45187941246859875,-0.4457438932250578,-0.3613180205774542,-0.4646944954244179
031,-0.3423154582817791,-0.32258419282522627,-0.26529200162736455,-0.344114604133151,-0.3269898108205324,-0.34033874148369264
032,-0.2594743402624222,-0.27795585188110206,-0.07960644397507247,-0.2486691819454581,-0.27323282517081704,-0.27893373189708504
033,-0.22379502157757433,-0.23209516809370145,0.12354446629184183,-0.2262190625,-0.22068069892479825,-0.23815442213822233
100,-0.5895032399356765,-0.5765186026818295,-0.5073639793810155,-0.5814740734834388,-0.5676641527002202,-0.5694650890775206
101,-0.4833030900250029,-0.4517326118929572,-0.4929181677266379,-0.4837103203234431,-0.4672166495281827,-0.4677605742484268
102,-0.4160564477065685,-0.4138026560068959,-0.10929556148611747,-0.407962313768681,-0.41229909561130507,-0.41474186176746974
103,-0.3269099862890626,-0.017701271785637476,-0.3375885321734237,-0.3362707830134113,-0.30641666548720825,-0.33198051287477603
110,-0.47471646662401396,-0.474484264607495,-0.49405007259177675,-0.47285960907584196,-0.3984873781098077,-0.46387917259973666
111,-0.3977692657810161,-0.42404543508899584,-0.40523429863818894,-0.4301058440507136,-0.16124734426018228,-0.4069723584906271
112,-0.2703334954287895,-0.2706719444159105,0.048776644050625234,-0.2827493263542369,-0.2817939293116646,-0.31480356146684263
113,-0.23668085937500005,0.19160863473908257,-0.24514265079860206,-0.2765124154200888,-0.26643412109375003,-0.24569709453125005
120,-0.4005816288772965,-0.30448305481893007,-0.4092014427123634,-0.33250925549621807,-0.40457486804286,-0.38329061155671174
121,-0.3538519216147584,-0.3145220323381856,-0.10958554384586244,-0.3322498856855071,-0.33796047157245,-0.35306326719622205
122,-0.21319944623930098,-0.18989093330256435,0.19727076166919208,-0.1927473361229183,-0.1997226520772697,-0.2668894756429331
123,-0.07960981908434159,0.17205748474275404,-0.038495165107711005,-0.0975,-0.12482620152141428,-0.11887500000000002
130,-0.3315067496407783,-0.358351193125258,-0.38131070904098546,-0.3604881472958703,-0.24879844544394372,-0.3317782687109375
131,-0.2467709545396755,-0.2824889413085938,-0.24687026104185333,-0.28194139609535507,-0.15484513177975287,-0.24985046093750005
132,-0.13229842826730553,-0.142625,-0.12498287001505752,0.005885965038176608,-0.1352807864075509,-0.13918125000000003
133,0.012460135987360621,-0.0975,0.39567729339081437,-0.05,-0.07250000000000001,-0.05
200,-0.45870385741014635,-0.505784499921099,-0.45582672653867423,-0.4859363527974942,-0.47791751881335864,-0.45138019658301054
201,-0.37305850378320315,-0.37877107911330565,-0.3584988261726032,-0.361101816811914,-0.21325644198966298,-0.37206135924674744
202,-0.3116379094055876,-0.06663578750656704,-0.31554456972571837,-0.2928159138713584,-0.2964064750735927,-0.29687825120544314
203,-0.27819474257812504,-0.0034722742203117263,-0.28283277647237826,-0.28926029028511124,-0.2790745390625,-0.2675038455343073
210,-0.423678376297431,-0.4149654988045272,-0.41864412973331994,-0.44541816797720146,-0.35273693895168007,-0.4083842136264875
211,-0.34718903715019195,-0.28003568851642907,-0.33442529881757543,-0.3106651102102974,-0.3201226843287151,-0.35027520639905285
212,-0.21093272707031255,-0.1863055609832823,-0.2179315854026468,-0.198178125,-0.06275747382645383,-0.1809404652126156
213,-0.09495636579558703,-0.1692490862270157,0.1485239372751706,-0.20007909130872703,-0.18549375,-0.1695487930761698
